Title,Content,Label
김행 “성폭행 당한 여성에게 출산 강요한 적 없어…가짜뉴스”,김행 여성가족부 장관 후보자는 낙태와 관련한 자신의 과거 발언을 지적한 보도에 대해 ..“가짜뉴스가 도를 넘어 살인병기가 됐다”고 반박했다... .. .. .. ..김 후보자는 21일 오전 입장문을 내 ..“저는 ..‘여성이 설사 강간을 당해 임신했더라도 낙태는 불가하며 무조건 출산해야 한다’는 생각을 단 1초도 가져 본 적이 ..“가짜뉴스는 순식간에 ..,0
신채호선생 북한 중국서도 '추앙',"단재,언론인,청주대,일본,중국,신채호,카지무라,한국사,유재천교수,신방과,20대,토론자,남북한,한국,사학자,한림대,국혼,학습원,예술의전당,재학술,사대주의,청주,김병민교수,박정규교수,소명의식,국제단,유재천",1
야고부,"한국,미셸,캉드쉬,야고부,imf,舊韓末,외계인,국제관계,訓手,뒷모습,난도질,殘影,滯韓,자격지심,아시아,체한,아시아식,自激之心,艦砲,위로의,司正,재벌해체,무한확장,위로의말,김영삼정부,의칼날앞,기대감,여기저기,김영삼,차이점,책임공방,의칼,기대속,기대감속,흥청망청,언론들,한은총재등,서울,차입금,관계자,한은,국민들,부총리,국민의식,살길,한국경제,경제부총리",1
양평~서울 고속도로 백지화... “양평이 우습나” 분노 폭발,원희룡 국토교통부 장관이 6일 오전 서울 여의도 국회 의원회관에서 열린 서울~양평 고속도로에 대한 가짜뉴스 관련 국민의힘 국토교통위원회 실무 당정협의회에서 발언하고 있다.....가짜뉴스라고 규정하고..“20여 년간 추진됐던 숙원 사업이 가짜뉴스로 인해 하루아침에 백지화되고 양평군이 피해를 보거나 고래 싸움에 새우등 터지는 일의 발생해서는 안 된다”면서 ..,0
유지가능 성장률(M&A 교실),"매출액,성장률,순이익,한보,그간,종금사,윤현수,배당액,당기순이익,경영자,rate,수면중,growth,최고경영자,코미트,내부유보율,sustainable,숨소리,재무제표,기업인수기사,성장,기업,자금,위험",1
선장없는 대한민국 경제-황호웅 금융부(기자 24시),"한국,재경원,산업은행,아시아,그동안,정크본드,국책은행,글로벌본드,우리나라,당국자,포인트씩,당정협의,부채질,똥값,금융가,불안심리,악의적,대한민국,금융부,가산금리,명성,관계자,국제시장,관계자들,이젠,국가들,사람들,투자자,황호웅,일본,부정확,거짓말,투자가치,국책은행들,약발,단기자금",1
양대勞總 헤게모니 다툼 예상,"민노총,한국노총,자동차,조합원,그동안,되나민노총,현대,영향력,완성차,중공업,1백,조선,계편,이합집산,근로자,본격화,근로자들,세력판도,사무노련,파업시즌",1
대기업­언론사 위성방송 참여'-당정 사교육비 대책,"단일방송법,방송법,위성방송,만큼,사교육비,지상파,대기업,언론사,오인환,현행법,추진정부,국회제도개선특위,위원장,제3정조,3개,공보처,함종,신한국당,종합유선방송법,이원화,위성교육방송,정부측,불가능,참여문제,전제로,tv,제정,방송,참여,위성,장관",1
대학교재 ‘논술방법’ 이적성 혐의-박지동 교수 구속,"이적성,박지동,광주전남,광주지법,광주지검,장병우,나간채,전남대,목적성,보안법,학문활동,사전구속영장,국가보안법,영장전담판사,민주화,공안부,학술문헌,광주대,대학원장,연구서적,인식론,협의회,민교협,교수,영장,판사,구속,순수,검찰,혐의,이날,발부,주장,학술,문헌",1
"조승래 의원,'민주당 국정감사 우수의원' 7년 연속 수상","〔중부매일 천성남 기자〕조승래 의원(대전 유성구갑)이 더불어민주당 2023년 국정감사우수의원으로 선정됐다...또한, 후쿠시마 오염수 방류 사태와 관련해 원자력안전을 담당하는 원자력안전위원회가 무능과 불통으로 일관한 점을 지적했고, 가짜뉴스를 심의·단속하는 행위가 법적 근거 없는 위법 행위이자 언론 자유를 심대하게 침해하는 행위임을 날카롭게 짚어냈다...",0
